15:32:25.750 [main] INFO  --- Elenco catalogo ---
15:56:11.224 [main] INFO  Elemento ricercato per Autore[Libro [ CodiceISBN = 2L, Titolo = Arte della guerra, AnnoPublicazione = 100, NumeroPagine = 600, Autore = Sun Tzu, Genere = Non-Fiction]]
15:57:01.056 [main] INFO  ELENCO CATALOGO
15:57:01.066 [main] INFO  RIMOZIONE ELEMENTI CON ISBN
15:57:01.068 [main] INFO  Elemento rimossoLibro [ CodiceISBN = 3L, Titolo = Il signore degli Anelli, AnnoPublicazione = 2015, NumeroPagine = 400, Autore = J. R. R. Tolkien, Genere = Fantasy]
15:57:01.068 [main] INFO  RICERCA ELEMENTI CON ISBN
15:57:01.069 [main] INFO  Elemento ricercato per codice ISBN[Rivista [ CodiceISBN = 3R, Titolo = MotorShow, AnnoPublicazione = 2006, NumeroPagine = 150, periodicità = SEMESTRALE]]
15:57:01.069 [main] INFO  RICERCA ELEMENTI PER ANNO
15:57:01.071 [main] INFO  Elemento ricercato per anno pubblicazione[Libro [ CodiceISBN = 1L, Titolo = Il trono di spade, AnnoPublicazione = 2015, NumeroPagine = 400, Autore = George R.R. Martin, Genere = Fantasy], Libro [ CodiceISBN = 3L, Titolo = Il signore degli Anelli, AnnoPublicazione = 2015, NumeroPagine = 400, Autore = J. R. R. Tolkien, Genere = Fantasy], Libro [ CodiceISBN = 3L, Titolo = Il signore degli Anelli, AnnoPublicazione = 2015, NumeroPagine = 400, Autore = J. R. R. Tolkien, Genere = Fantasy]]
15:57:01.071 [main] INFO  RICERCA ELEMENTI PER AUTORE
15:57:01.071 [main] INFO  Elemento ricercato per Autore[Libro [ CodiceISBN = 2L, Titolo = Arte della guerra, AnnoPublicazione = 100, NumeroPagine = 600, Autore = Sun Tzu, Genere = Non-Fiction]]
16:00:58.598 [main] INFO  ELENCO CATALOGO
16:00:58.607 [main] INFO  RIMOZIONE ELEMENTI CON ISBN
16:00:58.610 [main] INFO  Elemento rimossoLibro [ CodiceISBN = 3L, Titolo = Il signore degli Anelli, AnnoPublicazione = 2015, NumeroPagine = 400, Autore = J. R. R. Tolkien, Genere = Fantasy]
16:00:58.610 [main] INFO  RICERCA ELEMENTI CON ISBN
16:00:58.610 [main] INFO  Elemento ricercato per codice ISBN[Rivista [ CodiceISBN = 3R, Titolo = MotorShow, AnnoPublicazione = 2006, NumeroPagine = 150, periodicità = SEMESTRALE]]
16:00:58.610 [main] INFO  RICERCA ELEMENTI PER ANNO
16:00:58.612 [main] INFO  Elemento ricercato per anno pubblicazione[Libro [ CodiceISBN = 1L, Titolo = Il trono di spade, AnnoPublicazione = 2015, NumeroPagine = 400, Autore = George R.R. Martin, Genere = Fantasy], Libro [ CodiceISBN = 3L, Titolo = Il signore degli Anelli, AnnoPublicazione = 2015, NumeroPagine = 500, Autore = J. R. R. Tolkien, Genere = Fantasy], Libro [ CodiceISBN = 3L, Titolo = Il signore degli Anelli, AnnoPublicazione = 2015, NumeroPagine = 200, Autore = J. R. R. Tolkien, Genere = Fantasy]]
16:00:58.612 [main] INFO  RICERCA ELEMENTI PER AUTORE
16:00:58.613 [main] INFO  Elemento ricercato per Autore[Libro [ CodiceISBN = 2L, Titolo = Arte della guerra, AnnoPublicazione = 100, NumeroPagine = 600, Autore = Sun Tzu, Genere = Non-Fiction]]
16:01:12.416 [main] INFO  ELENCO CATALOGO
16:01:12.424 [main] INFO  RIMOZIONE ELEMENTI CON ISBN
16:01:12.427 [main] INFO  Elemento rimossoLibro [ CodiceISBN = 3L, Titolo = Il signore degli Anelli, AnnoPublicazione = 2015, NumeroPagine = 400, Autore = J. R. R. Tolkien, Genere = Fantasy]
16:01:12.428 [main] INFO  RICERCA ELEMENTI CON ISBN
16:01:12.428 [main] INFO  Elemento ricercato per codice ISBN[Rivista [ CodiceISBN = 3R, Titolo = MotorShow, AnnoPublicazione = 2006, NumeroPagine = 150, periodicità = SEMESTRALE]]
16:01:12.428 [main] INFO  RICERCA ELEMENTI PER ANNO
16:01:12.430 [main] INFO  Elemento ricercato per anno pubblicazione[Libro [ CodiceISBN = 1L, Titolo = Il trono di spade, AnnoPublicazione = 2015, NumeroPagine = 400, Autore = George R.R. Martin, Genere = Fantasy], Libro [ CodiceISBN = 3L, Titolo = Il signore degli Anelli, AnnoPublicazione = 2015, NumeroPagine = 500, Autore = J. R. R. Tolkien, Genere = Fantasy], Libro [ CodiceISBN = 3L, Titolo = Il signore degli Anelli, AnnoPublicazione = 2015, NumeroPagine = 200, Autore = J. R. R. Tolkien, Genere = Fantasy]]
16:01:12.430 [main] INFO  RICERCA ELEMENTI PER AUTORE
16:01:12.431 [main] INFO  Elemento ricercato per Autore[Libro [ CodiceISBN = 2L, Titolo = Arte della guerra, AnnoPublicazione = 100, NumeroPagine = 600, Autore = Sun Tzu, Genere = Non-Fiction]]
16:04:13.346 [main] INFO  ARCHIVIO
16:04:13.355 [main] INFO  RIMOZIONE ELEMENTI CON ISBN
16:04:13.357 [main] INFO  Elemento rimossoLibro [ CodiceISBN = 3L, Titolo = Il signore degli Anelli, AnnoPublicazione = 2015, NumeroPagine = 400, Autore = J. R. R. Tolkien, Genere = Fantasy]
16:04:13.357 [main] INFO  RICERCA ELEMENTI CON ISBN
16:04:13.357 [main] INFO  Elemento ricercato per codice ISBN[Rivista [ CodiceISBN = 3R, Titolo = MotorShow, AnnoPublicazione = 2006, NumeroPagine = 150, periodicità = SEMESTRALE]]
16:04:13.358 [main] INFO  RICERCA ELEMENTI PER ANNO
16:04:13.360 [main] INFO  Elemento ricercato per anno pubblicazione[Libro [ CodiceISBN = 1L, Titolo = Il trono di spade, AnnoPublicazione = 2015, NumeroPagine = 400, Autore = George R.R. Martin, Genere = Fantasy], Libro [ CodiceISBN = 3L, Titolo = Il signore degli Anelli, AnnoPublicazione = 2015, NumeroPagine = 500, Autore = J. R. R. Tolkien, Genere = Fantasy], Libro [ CodiceISBN = 3L, Titolo = Il signore degli Anelli, AnnoPublicazione = 2015, NumeroPagine = 200, Autore = J. R. R. Tolkien, Genere = Fantasy]]
16:04:13.360 [main] INFO  RICERCA ELEMENTI PER AUTORE
16:04:13.361 [main] INFO  Elemento ricercato per Autore[Libro [ CodiceISBN = 2L, Titolo = Arte della guerra, AnnoPublicazione = 100, NumeroPagine = 600, Autore = Sun Tzu, Genere = Non-Fiction]]
16:05:29.762 [main] INFO  ARCHIVIO
16:05:29.771 [main] INFO  RIMOZIONE ELEMENTI CON ISBN
16:05:29.773 [main] INFO  Elemento rimossoLibro [ CodiceISBN = 3L, Titolo = Il signore degli Anelli, AnnoPublicazione = 2015, NumeroPagine = 400, Autore = J. R. R. Tolkien, Genere = Fantasy]
16:05:29.773 [main] INFO  RICERCA ELEMENTI CON ISBN
16:05:29.774 [main] INFO  Elemento ricercato per codice ISBN[Rivista [ CodiceISBN = 3R, Titolo = MotorShow, AnnoPublicazione = 2006, NumeroPagine = 150, periodicità = SEMESTRALE]]
16:05:29.775 [main] INFO  RICERCA ELEMENTI PER ANNO
16:05:29.776 [main] INFO  Elemento ricercato per anno pubblicazione[Libro [ CodiceISBN = 1L, Titolo = Il trono di spade, AnnoPublicazione = 2015, NumeroPagine = 400, Autore = George R.R. Martin, Genere = Fantasy], Libro [ CodiceISBN = 3L, Titolo = Il signore degli Anelli, AnnoPublicazione = 2015, NumeroPagine = 500, Autore = J. R. R. Tolkien, Genere = Fantasy], Libro [ CodiceISBN = 3L, Titolo = Il signore degli Anelli, AnnoPublicazione = 2015, NumeroPagine = 200, Autore = J. R. R. Tolkien, Genere = Fantasy]]
16:05:29.776 [main] INFO  RICERCA ELEMENTI PER AUTORE
16:05:29.777 [main] INFO  Elemento ricercato per Autore[Libro [ CodiceISBN = 2L, Titolo = Arte della guerra, AnnoPublicazione = 100, NumeroPagine = 600, Autore = Sun Tzu, Genere = Non-Fiction]]
16:15:47.051 [main] INFO  ARCHIVIO
16:15:47.061 [main] INFO  RIMOZIONE ELEMENTI CON ISBN
16:15:47.063 [main] INFO  Elemento rimossoLibro [ CodiceISBN = 3L, Titolo = Il processo, AnnoPublicazione = 1925, NumeroPagine = 400, Autore = Franz Kafka, Genere = Romanzo]
16:15:47.063 [main] INFO  RICERCA ELEMENTI CON ISBN
16:15:47.063 [main] INFO  Elemento ricercato per codice ISBN[Rivista [ CodiceISBN = 3R, Titolo = Vanity Fair, AnnoPublicazione = 2005, NumeroPagine = 200, periodicità = SEMESTRALE]]
16:15:47.064 [main] INFO  RICERCA ELEMENTI PER ANNO
16:15:47.065 [main] INFO  Elemento ricercato per anno pubblicazione[2012]
16:15:47.065 [main] INFO  RICERCA ELEMENTI PER AUTORE
16:15:47.066 [main] INFO  Elemento ricercato per Autore[]
16:18:19.822 [main] INFO  ARCHIVIO
16:18:19.831 [main] INFO  RIMOZIONE ELEMENTI CON ISBN
16:18:19.834 [main] INFO  Elemento rimossoLibro [ CodiceISBN = 3L, Titolo = Il processo, AnnoPublicazione = 1925, NumeroPagine = 400, Autore = Franz Kafka, Genere = Romanzo]
16:18:19.834 [main] INFO  RICERCA ELEMENTI CON ISBN
16:18:19.835 [main] INFO  Elemento ricercato per codice ISBN[Rivista [ CodiceISBN = 3R, Titolo = Vanity Fair, AnnoPublicazione = 2005, NumeroPagine = 200, periodicità = SEMESTRALE]]
16:18:19.836 [main] INFO  RICERCA ELEMENTI PER ANNO
16:18:19.838 [main] INFO  Elemento ricercato per anno pubblicazione[]
16:18:19.838 [main] INFO  RICERCA ELEMENTI PER AUTORE
16:18:19.838 [main] INFO  Elemento ricercato per Autore[]
16:20:51.922 [main] INFO  ARCHIVIO
16:20:51.932 [main] INFO  RIMOZIONE ELEMENTI CON ISBN
16:20:51.934 [main] INFO  Elemento rimossoLibro [ CodiceISBN = 3L, Titolo = Il processo, AnnoPublicazione = 1925, NumeroPagine = 400, Autore = Franz Kafka, Genere = Romanzo]
16:20:51.934 [main] INFO  RICERCA ELEMENTI CON ISBN
16:20:51.934 [main] INFO  Elemento ricercato per codice ISBN[Rivista [ CodiceISBN = 3R, Titolo = Vanity Fair, AnnoPublicazione = 2005, NumeroPagine = 200, periodicità = SEMESTRALE]]
16:20:51.935 [main] INFO  RICERCA ELEMENTI PER ANNO
16:20:51.937 [main] INFO  Elemento ricercato per anno pubblicazione[]
16:20:51.937 [main] INFO  RICERCA ELEMENTI PER AUTORE
16:20:51.937 [main] INFO  Elemento ricercato per Autore[]
16:21:36.350 [main] INFO  ARCHIVIO
16:21:36.359 [main] INFO  RIMOZIONE ELEMENTI CON ISBN
16:21:36.362 [main] INFO  Elemento rimossonull
16:21:36.362 [main] INFO  RICERCA ELEMENTI CON ISBN
16:21:36.363 [main] INFO  Elemento ricercato per codice ISBN[Rivista [ CodiceISBN = 3R, Titolo = Vanity Fair, AnnoPublicazione = 2005, NumeroPagine = 200, periodicità = SEMESTRALE]]
16:21:36.364 [main] INFO  RICERCA ELEMENTI PER ANNO
16:21:36.364 [main] INFO  Elemento ricercato per anno pubblicazione[]
16:21:36.365 [main] INFO  RICERCA ELEMENTI PER AUTORE
16:21:36.365 [main] INFO  Elemento ricercato per Autore[]
16:25:38.056 [main] INFO  ARCHIVIO
16:25:38.068 [main] INFO  RIMOZIONE ELEMENTI CON ISBN
16:25:38.070 [main] INFO  Elemento rimossonull
16:25:38.071 [main] INFO  RICERCA ELEMENTI CON ISBN
16:25:38.071 [main] INFO  Elemento ricercato per codice ISBN[Rivista [ CodiceISBN = 3R, Titolo = Vanity Fair, AnnoPublicazione = 2005, NumeroPagine = 200, periodicità = SEMESTRALE]]
16:25:38.071 [main] INFO  RICERCA ELEMENTI PER ANNO
16:25:38.073 [main] INFO  Elemento ricercato per anno pubblicazione[]
16:25:38.073 [main] INFO  RICERCA ELEMENTI PER AUTORE
16:25:38.074 [main] INFO  Elemento ricercato per Autore[]
16:26:04.904 [main] INFO  ARCHIVIO
16:26:04.914 [main] INFO  RIMOZIONE ELEMENTI CON ISBN
16:26:04.916 [main] INFO  Elemento rimossonull
16:26:04.916 [main] INFO  RICERCA ELEMENTI CON ISBN
16:26:04.918 [main] INFO  Elemento ricercato per codice ISBN[Rivista [ CodiceISBN = 3R, Titolo = Vanity Fair, AnnoPublicazione = 2005, NumeroPagine = 200, periodicità = SEMESTRALE]]
16:26:04.918 [main] INFO  RICERCA ELEMENTI PER ANNO
16:26:04.919 [main] INFO  Elemento ricercato per anno pubblicazione[]
16:26:04.919 [main] INFO  RICERCA ELEMENTI PER AUTORE
16:26:04.919 [main] INFO  Elemento ricercato per Autore[]
16:26:26.592 [main] INFO  ARCHIVIO
16:26:26.601 [main] INFO  RIMOZIONE ELEMENTI CON ISBN
16:26:26.603 [main] INFO  Elemento rimossoLibro [ CodiceISBN = 3L, Titolo = Il processo, AnnoPublicazione = 1925, NumeroPagine = 400, Autore = Franz Kafka, Genere = Romanzo]
16:26:26.604 [main] INFO  RICERCA ELEMENTI CON ISBN
16:26:26.604 [main] INFO  Elemento ricercato per codice ISBN[Rivista [ CodiceISBN = 3R, Titolo = Vanity Fair, AnnoPublicazione = 2005, NumeroPagine = 200, periodicità = SEMESTRALE]]
16:26:26.605 [main] INFO  RICERCA ELEMENTI PER ANNO
16:26:26.607 [main] INFO  Elemento ricercato per anno pubblicazione[]
16:26:26.607 [main] INFO  RICERCA ELEMENTI PER AUTORE
16:26:26.608 [main] INFO  Elemento ricercato per Autore[]
16:29:12.902 [main] INFO  ARCHIVIO
16:29:12.913 [main] INFO  RIMOZIONE ELEMENTI CON ISBN
16:29:12.915 [main] INFO  Elemento rimossoLibro [ CodiceISBN = 3L, Titolo = Il processo, AnnoPublicazione = 1925, NumeroPagine = 400, Autore = Franz Kafka, Genere = Romanzo]
16:29:12.916 [main] INFO  RICERCA ELEMENTI CON ISBN
16:29:12.917 [main] INFO  Elemento ricercato per codice ISBN[Rivista [ CodiceISBN = 3R, Titolo = Vanity Fair, AnnoPublicazione = 2005, NumeroPagine = 200, periodicità = SEMESTRALE]]
16:29:12.917 [main] INFO  RICERCA ELEMENTI PER ANNO
16:29:12.918 [main] INFO  Elemento ricercato per anno pubblicazione[]
16:29:12.918 [main] INFO  RICERCA ELEMENTI PER AUTORE
16:29:12.919 [main] INFO  Elemento ricercato per Autore[]
16:29:41.656 [main] INFO  ARCHIVIO
16:29:41.665 [main] INFO  RIMOZIONE ELEMENTI CON ISBN
16:29:41.669 [main] INFO  Elemento rimossoLibro [ CodiceISBN = 3L, Titolo = Il processo, AnnoPublicazione = 1925, NumeroPagine = 400, Autore = Franz Kafka, Genere = Romanzo]
16:29:41.669 [main] INFO  RICERCA ELEMENTI CON ISBN
16:29:41.670 [main] INFO  Elemento ricercato per codice ISBN[Rivista [ CodiceISBN = 3R, Titolo = Vanity Fair, AnnoPublicazione = 2005, NumeroPagine = 200, periodicità = SEMESTRALE]]
16:29:41.670 [main] INFO  RICERCA ELEMENTI PER ANNO
16:29:41.672 [main] INFO  Elemento ricercato per anno pubblicazione[]
16:29:41.672 [main] INFO  RICERCA ELEMENTI PER AUTORE
16:29:41.673 [main] INFO  Elemento ricercato per Autore[]
16:30:11.001 [main] INFO  ARCHIVIO
16:30:11.010 [main] INFO  RIMOZIONE ELEMENTI CON ISBN
16:30:11.013 [main] INFO  Elemento rimossoLibro [ CodiceISBN = 3L, Titolo = Il processo, AnnoPublicazione = 1925, NumeroPagine = 400, Autore = Franz Kafka, Genere = Romanzo]
16:30:11.013 [main] INFO  RICERCA ELEMENTI CON ISBN
16:30:11.014 [main] INFO  Elemento ricercato per codice ISBN[Rivista [ CodiceISBN = 3R, Titolo = Vanity Fair, AnnoPublicazione = 2005, NumeroPagine = 200, periodicità = SEMESTRALE]]
16:30:11.014 [main] INFO  RICERCA ELEMENTI PER ANNO
16:30:11.015 [main] INFO  Elemento ricercato per anno pubblicazione[]
16:30:11.015 [main] INFO  RICERCA ELEMENTI PER AUTORE
16:30:11.016 [main] INFO  Elemento ricercato per Autore[]
16:30:17.323 [main] INFO  ARCHIVIO
16:30:17.332 [main] INFO  RIMOZIONE ELEMENTI CON ISBN
16:30:17.335 [main] INFO  Elemento rimossoLibro [ CodiceISBN = 3L, Titolo = Il processo, AnnoPublicazione = 1925, NumeroPagine = 400, Autore = Franz Kafka, Genere = Romanzo]
16:30:17.335 [main] INFO  RICERCA ELEMENTI CON ISBN
16:30:17.336 [main] INFO  Elemento ricercato per codice ISBN[Rivista [ CodiceISBN = 3R, Titolo = Vanity Fair, AnnoPublicazione = 2005, NumeroPagine = 200, periodicità = SEMESTRALE]]
16:30:17.336 [main] INFO  RICERCA ELEMENTI PER ANNO
16:30:17.338 [main] INFO  Elemento ricercato per anno pubblicazione[]
16:30:17.338 [main] INFO  RICERCA ELEMENTI PER AUTORE
16:30:17.338 [main] INFO  Elemento ricercato per Autore[]
16:31:11.397 [main] INFO  ARCHIVIO
16:31:11.406 [main] INFO  RIMOZIONE ELEMENTI CON ISBN
16:31:11.408 [main] INFO  Elemento rimossoLibro [ CodiceISBN: 3L, Titolo: Il processo, AnnoPublicazione: 1925, NumeroPagine: 400, Autore: Franz Kafka, Genere: Romanzo]
16:31:11.409 [main] INFO  RICERCA ELEMENTI CON ISBN
16:31:11.409 [main] INFO  Elemento ricercato per codice ISBN[Rivista [ CodiceISBN = 3R, Titolo = Vanity Fair, AnnoPublicazione = 2005, NumeroPagine = 200, periodicità = SEMESTRALE]]
16:31:11.409 [main] INFO  RICERCA ELEMENTI PER ANNO
16:31:11.410 [main] INFO  Elemento ricercato per anno pubblicazione[]
16:31:11.410 [main] INFO  RICERCA ELEMENTI PER AUTORE
16:31:11.410 [main] INFO  Elemento ricercato per Autore[]
16:31:42.331 [main] INFO  ARCHIVIO
16:31:42.341 [main] INFO  RIMOZIONE ELEMENTI CON ISBN
16:31:42.343 [main] INFO  Elemento rimossoLibro  CodiceISBN: 3L, Titolo: Il processo, AnnoPublicazione: 1925, NumeroPagine: 400, Autore: Franz Kafka, Genere: Romanzo
16:31:42.344 [main] INFO  RICERCA ELEMENTI CON ISBN
16:31:42.344 [main] INFO  Elemento ricercato per codice ISBN[Rivista [ CodiceISBN = 3R, Titolo = Vanity Fair, AnnoPublicazione = 2005, NumeroPagine = 200, periodicità = SEMESTRALE]]
16:31:42.345 [main] INFO  RICERCA ELEMENTI PER ANNO
